group,variable,value
3-Dec,Hungary,0.02
3-Dec,Ireland,0.09
3-Dec,Iceland,0.01
3-Dec,Italy,0.07
3-Dec,Netherlands,0.06
3-Dec,Norway,0.06
3-Dec,Poland,0.12
3-Dec,Portugal,0.08
3-Dec,Sweden,0.02
3-Dec,Turkey,0.17
10-Dec,Austria,0.03
10-Dec,Belgium,0.05
10-Dec,Switzerland,0.05
10-Dec,Germany,0.02
10-Dec,Denmark,0.02
10-Dec,Spain,0.09
10-Dec,Finland,0.05
10-Dec,France,0.03
10-Dec,United Kingdom,0.05
10-Dec,Greece,0
10-Dec,Hungary,0.03
10-Dec,Ireland,0.09
10-Dec,Iceland,0.01
10-Dec,Italy,0.06
10-Dec,Netherlands,0.05
10-Dec,Norway,0.09
10-Dec,Poland,0.11
10-Dec,Portugal,0.12
10-Dec,Sweden,0.02
10-Dec,Turkey,0.17
17-Dec,Austria,0.02
17-Dec,Belgium,0.05
17-Dec,Switzerland,0.04
17-Dec,Germany,0.01
17-Dec,Denmark,0.02
17-Dec,Spain,0.09
17-Dec,Finland,0.02
17-Dec,France,0.03
17-Dec,United Kingdom,0.04
17-Dec,Greece,0
17-Dec,Hungary,0.02
17-Dec,Ireland,0.08
17-Dec,Iceland,0.01
17-Dec,Italy,0.07
17-Dec,Netherlands,0.04
17-Dec,Norway,0.06
17-Dec,Poland,0.07
17-Dec,Portugal,0.09
17-Dec,Sweden,0.02
17-Dec,Turkey,0.17
24-Dec,Austria,0.01
24-Dec,Belgium,0.01
24-Dec,Switzerland,0
24-Dec,Germany,0.01
24-Dec,Denmark,0.01
24-Dec,Spain,0.04
24-Dec,Finland,0
24-Dec,France,0.01
24-Dec,United Kingdom,0.02
24-Dec,Greece,0
24-Dec,Hungary,0
24-Dec,Ireland,0.04
24-Dec,Iceland,0
24-Dec,Italy,0.04
24-Dec,Netherlands,0.01
24-Dec,Norway,0.04
24-Dec,Poland,0
24-Dec,Portugal,0.03
24-Dec,Sweden,0.01
24-Dec,Turkey,0.17
31-Dec,Austria,0.14
31-Dec,Belgium,0.2
31-Dec,Switzerland,0.2
31-Dec,Germany,0.14
31-Dec,Denmark,0.24
31-Dec,Spain,0.16
31-Dec,Finland,0.17
31-Dec,France,0.16
31-Dec,United Kingdom,0.2
31-Dec,Greece,0.03
31-Dec,Hungary,0.09
31-Dec,Ireland,0.17
31-Dec,Iceland,0.09
31-Dec,Italy,0.17
31-Dec,Netherlands,0.12
31-Dec,Norway,0.21
31-Dec,Poland,0.2
31-Dec,Portugal,0.13
31-Dec,Sweden,0.19
31-Dec,Turkey,0.2
7-Jan,Austria,0.07
7-Jan,Belgium,0.14
7-Jan,Switzerland,0.1
7-Jan,Germany,0.07
7-Jan,Denmark,0.15
7-Jan,Spain,0.09
7-Jan,Finland,0.07
7-Jan,France,0.04
7-Jan,United Kingdom,0.14
7-Jan,Greece,0
7-Jan,Hungary,0.06
7-Jan,Ireland,0.15
7-Jan,Iceland,0.03
7-Jan,Italy,0.1
7-Jan,Netherlands,0.09
7-Jan,Norway,0.15
7-Jan,Poland,0.18
7-Jan,Portugal,0.07
7-Jan,Sweden,0.17
7-Jan,Turkey,0.16
